Case Numer,City,Num Meals,Num Const.,Rev Weight,Star Weight,Time (s),Fitness,
1a,Phoenix,6,2,2,5,71.55602193,1.425562643,TRUE
1b,Belmont,6,2,2,5,3.416968822,1.181559544,TRUE
1c,Concord,6,2,2,5,9.046947956,1.20688454,TRUE
2a,Belmont,6,2,2,5,1.506831884,1.137381617,TRUE
2b,Belmont,6,3,2,5,1.498353004,1.137381617,TRUE
2c,Belmont,6,5,2,5,1.480746984,1.137381617,TRUE
2d,Belmont,6,5,2,5,1.474395037,1.137381617,TRUE
2e,Belmont,6,6,2,5,1.498188019,1.137381617,TRUE
2f,Belmont,6,12,2,5,1.652920961,1.137381617,TRUE
2g,Belmont,6,20,2,5,1.137381617,1.676882982,TRUE
3a,Belmont,6,2,2,5,3.344701052,1.181559544,TRUE
3b,Belmont,6,3,2,5,3.35879612,1.181559544,TRUE
3c,Belmont,6,5,2,5,3.353276014,1.181559544,TRUE
4a,Belmont,6,2,0,5,1.034687996,0.698970004,TRUE
4b,Belmont,6,2,3,3,3.412701845,1.577819817,TRUE
4c,Belmont,6,2,5,0,3.356086016,2.50242712,TRUE
4d,Belmont,6,2,1,1,3.406566143,1.577819817,TRUE
4e,Belmont,6,2,4,4,3.358011007,1.577819817,TRUE
4f,Belmont,6,2,1,4,3.325692892,1.023055435,TRUE
4g,Belmont,6,2,4,1,4.044294119,2.132584199,TRUE
5a,Belmont,10,2,2,5,11.32422209,1.180383382,TRUE
5b,Belmont,51,4,2,5,2121.292435,1.176786489,TRUE
5c,Belmont,30,9,2,5,427.3893859,1.174329297,TRUE
6a,Phoenix,10,2,2,5,2073.007781,1.425562643,TRUE
6b,Phoenix,51,4,2,5,DNE,DNE,DNE
6c,Phoenix,30,6,2,5,,,
7a,Concord,10,2,2,5,36.46524787,1.205926357,
7b,Concord,51,4,2,5,7054.646831,1.195914143,
7c,Concord,30,6,2,5,1860.947253,1.20688454,
